-1 |time weekday:2 hour:12 hours_from_midnight:12 |meta link hashtags:1 |tokens #imwithyou you thank
-1 |time weekday:2 hour:17 hours_from_midnight:7 |meta link hashtags:2 |tokens #trump2016 #makeamericagreatagain
1 |time weekday:2 hour:10 hours_from_midnight:10 |meta single_quote hashtags:0 |tokens crazy because love dont doing is hard want yet what crooked to too sanders his hit watching hillary come he i will time bernie
1 |time weekday:2 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens and crazy is in ready for crooked west looking get very big who virginia hillary november wins against will bad nebraska lose bernie
-1 |time weekday:2 hour:1 hours_from_midnight:1 |meta link hashtags:2 |tokens #trump2016 you nebraska #makeamericagreatagain thank
-1 |time weekday:2 hour:0 hours_from_midnight:0 |meta link hashtags:2 |tokens thank west #makeamericagreatagain virginia you #trump2016
-1 |time weekday:1 hour:15 hours_from_midnight:9 |meta link hashtags:3 |tokens west #makeamericagreatagain virginia #votetrump #trump2016 today
-1 |time weekday:1 hour:15 hours_from_midnight:9 |meta link hashtags:3 |tokens #trump2016 nebraska #makeamericagreatagain #votetrump today
1 |time weekday:1 hour:14 hours_from_midnight:10 |meta hashtags:0 |tokens be never that not is people it tell vp to only will they were press position the asked take
1 |time weekday:1 hour:13 hours_from_midnight:11 |meta single_quote hashtags:0 |tokens me @ about ate odonnell crooked who commercial it vicious not hillary rosie in cake the was
1 |time weekday:1 hour:12 hours_from_midnight:12 |meta hashtags:0 |tokens false want from raise crooked media opposite to does pushing that exactly hillary strong with why a i taxes keep narrative push the
1 |time weekday:1 hour:11 hours_from_midnight:11 |meta hashtags:1 |tokens on great thank for @ this #repmikekelly morning job words you the nice
1 |time weekday:1 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens and again we get make great will nebraska vote america out
1 |time weekday:1 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens and again we get west make virginia will great vote america out
1 |time weekday:1 hour:2 hours_from_midnight:2 |meta link double_quote double_quote_at hashtags:3 |tokens
-1 |time weekday:5 hour:0 hours_from_midnight:0 |meta hashtags:0 |tokens wants and clinton her from crooked of over completely me will this hillary democrats run borders open support millions
-1 |time weekday:5 hour:0 hours_from_midnight:0 |meta hashtags:0 |tokens sarah by legacy just family was of leaves horribly amazing but killed met behind nebraska in illegal root immigrant with courageous
-1 |time weekday:4 hour:23 hours_from_midnight:1 |meta hashtags:0 |tokens a on based elizabeth that career is american lie hillary goofy native she clinton’s not flunky has totally warren
-1 |time weekday:4 hour:23 hours_from_midnight:1 |meta hashtags:0 |tokens a warren’s fraud elizabeth let’s to i is american records see properly goofy she she’s native check say if
-1 |time weekday:4 hour:23 hours_from_midnight:1 |meta hashtags:0 |tokens will them clinton elizabeth her both i chooses running hillary goofy mate defeat corrupt as hope warren
-1 |time weekday:4 hour:21 hours_from_midnight:3 |meta link hashtags:0 |tokens to response @
-1 |time weekday:4 hour:18 hours_from_midnight:6 |meta hashtags:0 |tokens win is hard fading guarantee rapidly for crooked to party @ run pushing hillary hear a candidate third i of will this
-1 |time weekday:4 hour:18 hours_from_midnight:6 |meta single_quote hashtags:0 |tokens and then insight power that initially didnt work jeb crashed bush much joe kasich not scarborough john endorsed or
1 |time weekday:4 hour:12 hours_from_midnight:12 |meta single_quote hashtags:0 |tokens card sanders constantly says ability womens crooked is bad zero it judgement hillary leadership she sad the has playing as bernie
1 |time weekday:4 hour:12 hours_from_midnight:12 |meta single_quote hashtags:0 |tokens said voters that i with of it ryan inherit very wrong won something inherited party paul republican didnt the special millions
1 |time weekday:4 hour:11 hours_from_midnight:11 |meta double_quote double_quote_at hashtags:2 |tokens
1 |time weekday:4 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens and again great for we many make endorsements yesterday ryan except first so put paul america must
1 |time weekday:4 hour:10 hours_from_midnight:10 |meta single_quote double_quote hashtags:0 |tokens "donald perry seen" trump for people of is thank governor one ive most running said rick the presidency ever you talented
1 |time weekday:4 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens all clinton back want in go wages crooked to destroy wants do we jobs who miners hillary america bringing by unlike i up will so
-1 |time weekday:4 hour:3 hours_from_midnight:3 |meta single_quote hashtags:1 |tokens and on we thank big west tuesday virginia vote keep will go lets going win it you #trump2016 out
-1 |time weekday:4 hour:1 hours_from_midnight:1 |meta double_quote hashtags:0 |tokens then are minerscoal out said crooked to going apologized lot you can business" hillary put believe a of companies coal she whole "we
-1 |time weekday:3 hour:23 hours_from_midnight:1 |meta link hashtags:2 |tokens me join omaha #makeamericagreatagain oregon nebraska #trump2016 tomorrow eugene
-1 |time weekday:3 hour:18 hours_from_midnight:6 |meta link hashtags:1 |tokens grill made love trump i in bowls hispanics tower are taco #cincodemayo the best happy
-1 |time weekday:2 hour:16 hours_from_midnight:8 |meta link hashtags:0 |tokens me join wv in charleston tomorrow
1 |time weekday:2 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens enjoy on @ i am interviewed will 730 at be
1 |time weekday:2 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens and on good @ i am 700 interviewed morning will at be america
1 |time weekday:2 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens enjoy on @ i am interviewed 615 will at be
1 |time weekday:2 hour:9 hours_from_midnight:9 |meta hashtags:0 |tokens and sanders because run cooked would that i against the will rather hillary books are clinton happen crooked than bernie
1 |time weekday:2 hour:9 hours_from_midnight:9 |meta hashtags:0 |tokens a sanders what evening that we interesting is had great against system beat hillary so dysfunctional rigged the crooked totally him
1 |time weekday:2 hour:4 hours_from_midnight:4 |meta hashtags:0 |tokens @ i please virginia won correct
-1 |time weekday:1 hour:23 hours_from_midnight:1 |meta link hashtags:2 |tokens #makeamericagreatagain indiana you #trump2016 thank
1 |time weekday:1 hour:23 hours_from_midnight:1 |meta single_quote hashtags:0 |tokens and wasting win ted doesnt if he said should lyin consistently money indiana racestop that cruz must of drop will time the out
1 |time weekday:1 hour:23 hours_from_midnight:1 |meta single_quote hashtags:0 |tokens all ted crazy sad cant wacko really wow lyin under sorts today function very pressure cruz not presidential made charges of went
-1 |time weekday:1 hour:18 hours_from_midnight:6 |meta link hashtags:2 |tokens again great make #inprimary #votetrump america
-1 |time weekday:1 hour:16 hours_from_midnight:8 |meta link hashtags:3 |tokens polls #inprimary #votetrump at 6pm close #trump2016
-1 |time weekday:1 hour:15 hours_from_midnight:9 |meta link hashtags:1 |tokens you america #trump2016 thank
-1 |time weekday:1 hour:14 hours_from_midnight:10 |meta link hashtags:2 |tokens again great make #inprimary #votetrump america
-1 |time weekday:1 hour:11 hours_from_midnight:11 |meta link hashtags:2 |tokens again great make #inprimary #votetrump america
-1 |time weekday:0 hour:22 hours_from_midnight:2 |meta hashtags:0 |tokens a be short big see rally soon will while bend in indiana you south
-1 |time weekday:0 hour:21 hours_from_midnight:3 |meta hashtags:1 |tokens enjoy be tonight @ interviewed #inprimary will 10pme at on
-1 |time weekday:0 hour:21 hours_from_midnight:3 |meta link hashtags:1 |tokens you america #makeamericagreatagain thank
-1 |time weekday:0 hour:21 hours_from_midnight:3 |meta link hashtags:3 |tokens thank get #makeamericagreatagain #inprimary #votetrump indiana you tomorrow carmel out
-1 |time weekday:0 hour:19 hours_from_midnight:5 |meta link hashtags:2 |tokens a received great honored of lou #inprimary to holtz have endorsement the #trump2016 guy
-1 |time weekday:0 hour:16 hours_from_midnight:8 |meta link hashtags:2 |tokens on clinton i #trump2016 #makeamericagreatagain will crooked hillary defeat 11/8/2016
-1 |time weekday:0 hour:14 hours_from_midnight:10 |meta hashtags:0 |tokens and all are in campaigning things support been looking amazing indiana has today be day great bobby i of will so knight fun the
1 |time weekday:0 hour:14 hours_from_midnight:10 |meta hashtags:0 |tokens everybody and about mexican burning do i is voters proudly protesters waving talking american flags want so the america first
1 |time weekday:0 hour:11 hours_from_midnight:11 |meta hashtags:0 |tokens and trump just stated back bring donald thanks pence usa to taken gov me mike jobs stance that hoosier strong he a on has i will
1 |time weekday:0 hour:11 hours_from_midnight:11 |meta double_quote hashtags:0 |tokens said clinton get crooked with is men who actually to hillary used done she such reservation" off the has "dealing poorly
1 |time weekday:0 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens enjoy on @ i am interviewed will 730 at be
-1 |time weekday:6 hour:23 hours_from_midnight:1 |meta link hashtags:1 |tokens me join 4pm #inprimary at in indiana tomorrow carmel
-1 |time weekday:6 hour:21 hours_from_midnight:3 |meta link hashtags:2 |tokens thank #inprimary wayne indiana you #trump2016 fort
-1 |time weekday:6 hour:21 hours_from_midnight:3 |meta link hashtags:1 |tokens thank haute terre #makeamericagreatagain indiana you
-1 |time weekday:6 hour:20 hours_from_midnight:4 |meta single_quote hashtags:0 |tokens a @ good says i anything be even is never air jeb failed hillary shouldnt will beat the on bushy after
-1 |time weekday:6 hour:16 hours_from_midnight:8 |meta link hashtags:1 |tokens enjoy on his wallace @ i am anniversary #fns year chris the throughout with day 20th
-1 |time weekday:6 hour:16 hours_from_midnight:8 |meta hashtags:0 |tokens a be short big haute terre see rally soon will while in indiana you
-1 |time weekday:6 hour:13 hours_from_midnight:11 |meta link hashtags:1 |tokens indiana you #trump2016 thank
1 |time weekday:6 hour:3 hours_from_midnight:3 |meta hashtags:0 |tokens and on great there monday be i again make rallies see will sunday at in indiana you america four
1 |time weekday:5 hour:23 hours_from_midnight:1 |meta hashtags:0 |tokens @ great thank for on comments job you the today nice
-1 |time weekday:5 hour:20 hours_from_midnight:4 |meta link hashtags:2 |tokens #maga trump delaware delegates down locks #trump2016 gop
1 |time weekday:5 hour:17 hours_from_midnight:7 |meta hashtags:0 |tokens and is (and zero growth again make economy worsealmost beat nobody america me on great getting this jobs) bad can the quarter
1 |time weekday:5 hour:15 hours_from_midnight:9 |meta link double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:5 hour:13 hours_from_midnight:11 |meta double_quote hashtags:0 |tokens and professionals thugs criminals dealt be strongly "protesters" in enforcement should california are they were the many with by law
1 |time weekday:5 hour:3 hours_from_midnight:3 |meta hashtags:0 |tokens and @ woman incredible always is amazing been an anderson so mother has your
1 |time weekday:4 hour:18 hours_from_midnight:6 |meta hashtags:0 |tokens and because wasting win is are ballot system other ballots we delegates rigged not now effort on will time at the 1001 first
-1 |time weekday:4 hour:16 hours_from_midnight:8 |meta link hashtags:1 |tokens indiana you #trump2016 thank
1 |time weekday:4 hour:13 hours_from_midnight:11 |meta hashtags:0 |tokens all clinton is one have for to crooked also ever run enablers most hillary great presidency of dishonest perhaps person time the
1 |time weekday:4 hour:11 hours_from_midnight:11 |meta single_quote hashtags:0 |tokens and just blown john dead dumb kasich what deal for wow 42 1 lyinted between has arrival cruz ridiculous a on made up the
-1 |time weekday:1 hour:19 hours_from_midnight:5 |meta link hashtags:1 |tokens you america #trump2016 thank
-1 |time weekday:1 hour:18 hours_from_midnight:6 |meta link hashtags:2 |tokens lets #votetrump #makeamericagreatagain maryland
-1 |time weekday:1 hour:18 hours_from_midnight:6 |meta link hashtags:1 |tokens 8pm delaware to #votetrump have you until
-1 |time weekday:1 hour:18 hours_from_midnight:6 |meta link hashtags:1 |tokens a great thank for island yesterday rhode #votetrump you day
-1 |time weekday:1 hour:18 hours_from_midnight:6 |meta link hashtags:1 |tokens six hours to connecticut #votetrump left
-1 |time weekday:1 hour:18 hours_from_midnight:6 |meta link hashtags:1 |tokens go pennsylvania lets #votetrump
-1 |time weekday:1 hour:16 hours_from_midnight:8 |meta link hashtags:0 |tokens and don thank for incredible vanessa support barron eric lara tiffany ivanka melania jared the you
-1 |time weekday:1 hour:13 hours_from_midnight:11 |meta link hashtags:1 |tokens @ you #trump2016 thank
1 |time weekday:1 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens and honored deal being cruzkasich is dead strain dumb almost under falling a very not apart pact great this of joke the
-1 |time weekday:1 hour:1 hours_from_midnight:1 |meta link hashtags:2 |tokens thank pennsylvania #makeamericagreatagain wilkesbarre you #trump2016
-1 |time weekday:0 hour:22 hours_from_midnight:2 |meta link hashtags:1 |tokens a what area pennsylvania vibrant #makeamericagreatagain sad so in passing manufacturing was once
-1 |time weekday:0 hour:22 hours_from_midnight:2 |meta link hashtags:2 |tokens thank pennsylvania west #paprimary #votetrump chester you
-1 |time weekday:0 hour:21 hours_from_midnight:3 |meta link hashtags:2 |tokens thank #riprimary island rhode #votetrump warwick you
1 |time weekday:0 hour:11 hours_from_midnight:11 |meta single_quote hashtags:0 |tokens and own in ted one are have kasich lyin for their two 1 to unable shows a beat weakness cruz they me on 38 up so (collusion) team
1 |time weekday:0 hour:3 hours_from_midnight:3 |meta single_quote hashtags:0 |tokens and donors them sad interest with ted dead mathematically lyin their are desperate kasich not groups totally special happy
1 |time weekday:0 hour:3 hours_from_midnight:3 |meta single_quote hashtags:0 |tokens and just kasich ted are in collude from desperation wow lyin to going announced that republican nomination me getting keep the order
1 |time weekday:0 hour:1 hours_from_midnight:1 |meta hashtags:0 |tokens @ doing is am it down paper to irrelevant how seriously way happy badly which becoming hear with a i readership failing the
1 |time weekday:6 hour:14 hours_from_midnight:10 |meta double_quote double_quote_at hashtags:0 |tokens delegate bribery"
1 |time weekday:6 hour:14 hours_from_midnight:10 |meta link double_quote double_quote_at hashtags:2 |tokens
1 |time weekday:6 hour:14 hours_from_midnight:10 |meta hashtags:0 |tokens a be major good for i things tuesday will this afternoon in rally maryland looking are
1 |time weekday:6 hour:13 hours_from_midnight:11 |meta hashtags:0 |tokens and @ great thank on advice job you
1 |time weekday:6 hour:2 hours_from_midnight:2 |meta hashtags:0 |tokens @ great prove to on very that tonight will commentary be was correct smart
1 |time weekday:6 hour:1 hours_from_midnight:1 |meta hashtags:0 |tokens drop clinton win is kasich soon as in ads crooked negative john hit hillary with he a like i polls against will rock the
1 |time weekday:6 hour:1 hours_from_midnight:1 |meta hashtags:0 |tokens a on great for i big tuesday had looking connecticut in vote campaigning day
1 |time weekday:6 hour:0 hours_from_midnight:0 |meta hashtags:0 |tokens and on congratulations his @ job reported great amazing increase to ratings today the by as
-1 |time weekday:5 hour:20 hours_from_midnight:4 |meta link hashtags:0 |tokens great i just read of proud am story ryan lynne ny you thanks in the times your
-1 |time weekday:5 hour:19 hours_from_midnight:5 |meta link hashtags:3 |tokens #trumptrain thank delaware #makeamericagreatagain you #trump2016
-1 |time weekday:5 hour:19 hours_from_midnight:5 |meta link hashtags:2 |tokens thank bridgeport #makeamericagreatagain connecticut you #trump2016
-1 |time weekday:5 hour:16 hours_from_midnight:8 |meta link hashtags:2 |tokens thank waterbury #makeamericagreatagain connecticut you #trump2016
-1 |time weekday:5 hour:14 hours_from_midnight:10 |meta link hashtags:1 |tokens video #makeamericagreatagain
1 |time weekday:5 hour:12 hours_from_midnight:12 |meta hashtags:0 |tokens being are another in campaigning spending fast day state other be jobs stop connecticut by stolen countries i will this the where
-1 |time weekday:5 hour:1 hours_from_midnight:1 |meta link hashtags:1 |tokens pennsylvania you #trump2016 thank
-1 |time weekday:5 hour:0 hours_from_midnight:0 |meta link hashtags:1 |tokens seeing great everyone thank be on i #trump2016 wednesday back will soon indiana you was
-1 |time weekday:4 hour:23 hours_from_midnight:1 |meta link hashtags:2 |tokens thank #makeamericagreatagain soon see california you #trump2016
-1 |time weekday:4 hour:22 hours_from_midnight:2 |meta link hashtags:2 |tokens #makeamericagreatagain @ you #trump2016 thank
-1 |time weekday:4 hour:17 hours_from_midnight:7 |meta link hashtags:2 |tokens a thank for incredible this support #makeamericagreatagain maryland the #trump2016 you is movement
-1 |time weekday:4 hour:15 hours_from_midnight:9 |meta hashtags:0 |tokens and on talent missed be was i occasions an will met amazing wonderful greatly guy numerous prince he
-1 |time weekday:3 hour:22 hours_from_midnight:2 |meta single_quote hashtags:0 |tokens lyin said 1237 get drop ted cant should leave to cruz because kasich couldnt now out he
1 |time weekday:3 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens both said from for get i should ted reason been mathematically cruz race same kasich senator eliminated has out think he
1 |time weekday:3 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens and major family be doing it rest in hopefully enjoy7am @ a melania with hall town wife i of will fun the my
-1 |time weekday:3 hour:2 hours_from_midnight:2 |meta link hashtags:1 |tokens a the great thank conclude be #trump2016 back what day will to way you soon maryland
-1 |time weekday:3 hour:1 hours_from_midnight:1 |meta link hashtags:0 |tokens a @ his campaign with in had terrific to state wonderful so of indiana the meeting excited
-1 |time weekday:2 hour:22 hours_from_midnight:2 |meta link hashtags:2 |tokens be thank #makeamericagreatagain back soon will indiana you #trump2016
-1 |time weekday:2 hour:15 hours_from_midnight:9 |meta link hashtags:1 |tokens to #trump2016 off indiana
1 |time weekday:2 hour:12 hours_from_midnight:12 |meta hashtags:0 |tokens all be is ted winning out mathematically to nice do beat never cruz now he a spoiler i of hillary will thing race can the
1 |time weekday:2 hour:3 hours_from_midnight:3 |meta link double_quote double_quote_at hashtags:0 |tokens wow nice really
1 |time weekday:2 hour:3 hours_from_midnight:3 |meta hashtags:0 |tokens thank i never will york new you forget
1 |time weekday:2 hour:0 hours_from_midnight:0 |meta hashtags:0 |tokens me @ about terrible an thing is bill watch negative o it to amazing said so such impossible haters angry panel
1 |time weekday:2 hour:0 hours_from_midnight:0 |meta double_quote double_quote_at hashtags:3 |tokens
1 |time weekday:1 hour:23 hours_from_midnight:1 |meta link double_quote double_quote_at hashtags:1 |tokens
1 |time weekday:1 hour:23 hours_from_midnight:1 |meta double_quote double_quote_at hashtags:0 |tokens a of now" state york in new mind"
1 |time weekday:5 hour:12 hours_from_midnight:12 |meta hashtags:0 |tokens and on 900 primaries controlled @ i am interviewed boss will talking at rigged about be republican the
1 |time weekday:5 hour:11 hours_from_midnight:11 |meta double_quote double_quote_at hashtags:0 |tokens fantastic
1 |time weekday:5 hour:1 hours_from_midnight:1 |meta double_quote double_quote_at hashtags:0 |tokens great
1 |time weekday:5 hour:1 hours_from_midnight:1 |meta link double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:5 hour:1 hours_from_midnight:1 |meta double_quote double_quote_at hashtags:0 |tokens you thank
-1 |time weekday:5 hour:0 hours_from_midnight:0 |meta link hashtags:2 |tokens me join this #trump2016 4/16 #nyprimary watertown 3pm weekend noon syracuse
-1 |time weekday:4 hour:21 hours_from_midnight:3 |meta link hashtags:1 |tokens @ you #trump2016 thank
-1 |time weekday:4 hour:21 hours_from_midnight:3 |meta link hashtags:1 |tokens you america #trump2016 thank
-1 |time weekday:4 hour:3 hours_from_midnight:3 |meta link hashtags:0 |tokens again make america great
-1 |time weekday:3 hour:17 hours_from_midnight:7 |meta link hashtags:2 |tokens me on join #nyprimary york in new #trump2016 saturday syracuse
1 |time weekday:3 hour:4 hours_from_midnight:4 |meta single_quote hashtags:0 |tokens take on march colorado big friday protest let afternoon in vote bosses the your dont
1 |time weekday:3 hour:3 hours_from_midnight:3 |meta hashtags:0 |tokens and because pols colorado voters win in would their bosses entered knew rules after june with change shortly i did race the
1 |time weekday:3 hour:3 hours_from_midnight:3 |meta hashtags:0 |tokens colorado people is one have in politics story from been state biggest over million precluded now great happening of the voting where
-1 |time weekday:3 hour:1 hours_from_midnight:1 |meta link hashtags:1 |tokens 10pm be tonight from @ on pennsylvania enjoy interviewed will at #trump2016 by
-1 |time weekday:2 hour:13 hours_from_midnight:11 |meta link hashtags:2 |tokens me tickets #trumptrain join pittsburgh 7pme tonight at in #trump2016
-1 |time weekday:2 hour:5 hours_from_midnight:5 |meta link hashtags:2 |tokens #trump2016 #makeamericagreatagain
-1 |time weekday:2 hour:5 hours_from_midnight:5 |meta link hashtags:2 |tokens #trump2016 #makeamericagreatagain
1 |time weekday:2 hour:3 hours_from_midnight:3 |meta hashtags:0 |tokens on great family @ my am 1200 tonight to wonderful will (eastern) be rebroadcast with at
-1 |time weekday:1 hour:22 hours_from_midnight:2 |meta link hashtags:1 |tokens i new #newyorkvalues love york
-1 |time weekday:1 hour:16 hours_from_midnight:8 |meta link hashtags:2 |tokens and thank pennsylvania #makeamericagreatagain soon see california york new you #trump2016 maryland
-1 |time weekday:1 hour:16 hours_from_midnight:8 |meta link hashtags:2 |tokens confirmed winner additional just with official #makeamericagreatagain delegates an as 12 missouri the #trump2016
-1 |time weekday:1 hour:10 hours_from_midnight:10 |meta link hashtags:2 |tokens great thank for wow support york new you poll #trump2016 your #newyorkvalues
-1 |time weekday:1 hour:1 hours_from_midnight:1 |meta link hashtags:2 |tokens albany thank #makeamericagreatagain york new you #trump2016
-1 |time weekday:0 hour:23 hours_from_midnight:1 |meta link hashtags:2 |tokens me tickets available join #nyprimary ny rome in #trump2016 tomorrow
-1 |time weekday:0 hour:22 hours_from_midnight:2 |meta link hashtags:2 |tokens me albany #trumptrain join time love i 7pme start live york in new you #trump2016 tune
-1 |time weekday:0 hour:22 hours_from_midnight:2 |meta link hashtags:0 |tokens a @ and good very interesting writer of piece by
-1 |time weekday:0 hour:20 hours_from_midnight:4 |meta hashtags:0 |tokens albany exciting crowd for very leaving york expected new now massive
-1 |time weekday:0 hour:20 hours_from_midnight:4 |meta single_quote hashtags:0 |tokens a and (@) liberal complete vulgarian i media is bill think does so oreilly the total why dont
1 |time weekday:0 hour:12 hours_from_midnight:12 |meta double_quote double_quote_at hashtags:0 |tokens great you thank people
1 |time weekday:0 hour:11 hours_from_midnight:11 |meta double_quote double_quote_at hashtags:0 |tokens you thank
1 |time weekday:0 hour:11 hours_from_midnight:11 |meta double_quote double_quote_at hashtags:1 |tokens
1 |time weekday:0 hour:11 hours_from_midnight:11 |meta single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:0 hour:10 hours_from_midnight:10 |meta hashtags:0 |tokens enjoy on @ i am 700 interviewed will at be
1 |time weekday:0 hour:0 hours_from_midnight:0 |meta hashtags:0 |tokens colorado people allowed in vote politics story from away had their politicians biggest be them phony taken not by this of will the
1 |time weekday:0 hour:0 hours_from_midnight:0 |meta hashtags:0 |tokens great never primary colorado that of is people unfair it anger possible how state in vote got the republican totally to
1 |time weekday:6 hour:13 hours_from_midnight:11 |meta hashtags:0 |tokens and all because campaign goodies win are in votes system state sorts then get offered delegates cruz they by a i of bad nonrepresentative
1 |time weekday:6 hour:13 hours_from_midnight:11 |meta hashtags:0 |tokens we covers defense are want our for pay to other suckersno purposely more @ them me i of us nations so inaccurately the
1 |time weekday:6 hour:11 hours_from_midnight:11 |meta link double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:6 hour:11 hours_from_midnight:11 |meta single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:6 hour:3 hours_from_midnight:3 |meta double_quote double_quote_at hashtags:3 |tokens a big crowd
1 |time weekday:6 hour:3 hours_from_midnight:3 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:6 hour:3 hours_from_midnight:3 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:6 hour:3 hours_from_midnight:3 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:6 hour:3 hours_from_midnight:3 |meta double_quote double_quote_at hashtags:1 |tokens
1 |time weekday:6 hour:3 hours_from_midnight:3 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:6 hour:3 hours_from_midnight:3 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:6 hour:2 hours_from_midnight:2 |meta link double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:6 hour:2 hours_from_midnight:2 |meta link double_quote double_quote_at hashtags:0 |tokens you thank
1 |time weekday:6 hour:2 hours_from_midnight:2 |meta link double_quote double_quote_at hashtags:0 |tokens very sad
1 |time weekday:5 hour:12 hours_from_midnight:12 |meta link double_quote double_quote_at hashtags:0 |tokens wow
1 |time weekday:5 hour:11 hours_from_midnight:11 |meta link double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:5 hour:11 hours_from_midnight:11 |meta hashtags:0 |tokens says be is go clinton based her decision to sanders ability that hillary unqualified president along with on i can making bernie
1 |time weekday:5 hour:3 hours_from_midnight:3 |meta single_quote hashtags:0 |tokens and it shame isnt have still millions votes by anyone more me that far who delegates else most than must a many fight will person the
1 |time weekday:5 hour:2 hours_from_midnight:2 |meta double_quote double_quote_at hashtags:2 |tokens
1 |time weekday:5 hour:2 hours_from_midnight:2 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:5 hour:2 hours_from_midnight:2 |meta double_quote double_quote_at hashtags:1 |tokens
1 |time weekday:5 hour:2 hours_from_midnight:2 |meta double_quote double_quote_at hashtags:0 |tokens you thank
1 |time weekday:5 hour:2 hours_from_midnight:2 |meta double_quote double_quote_at hashtags:1 |tokens
1 |time weekday:5 hour:2 hours_from_midnight:2 |meta double_quote double_quote_at hashtags:1 |tokens
1 |time weekday:0 hour:3 hours_from_midnight:3 |meta hashtags:0 |tokens a me great america wisconsin monday people many is make stops big melania in again on crowds day joining
-1 |time weekday:0 hour:2 hours_from_midnight:2 |meta link hashtags:2 |tokens a great wisconsin thank allis west night #votetrumpwi #wiprimary in you
-1 |time weekday:0 hour:0 hours_from_midnight:0 |meta hashtags:2 |tokens a on from @ i #makeamericagreatagain town enjoy am doing #trump2016 wisconsin now with hall
-1 |time weekday:6 hour:23 hours_from_midnight:1 |meta hashtags:0 |tokens @ congratulations for all of proud we winning to clubs going great are the you
-1 |time weekday:6 hour:20 hours_from_midnight:4 |meta link hashtags:2 |tokens be wisconsin @ i join #trump2016 7pme us will at in milwaukee with tomorrow #wiprimary
-1 |time weekday:6 hour:18 hours_from_midnight:6 |meta link single_quote hashtags:2 |tokens thank #trump2016 #makeamericagreatagain you katies miss diner
-1 |time weekday:6 hour:17 hours_from_midnight:7 |meta link hashtags:2 |tokens and thank pennsylvania #makeamericagreatagain york new you #trump2016
1 |time weekday:6 hour:14 hours_from_midnight:10 |meta single_quote double_quote double_quote_at hashtags:1 |tokens and about #trump2016" love dont people" people i exactly we you game much so the thats why care
-1 |time weekday:6 hour:13 hours_from_midnight:11 |meta link hashtags:2 |tokens you #trump2016 thank #wiprimary
1 |time weekday:6 hour:13 hours_from_midnight:11 |meta link double_quote double_quote_at hashtags:2 |tokens
1 |time weekday:6 hour:13 hours_from_midnight:11 |meta link double_quote double_quote_at hashtags:1 |tokens
1 |time weekday:6 hour:13 hours_from_midnight:11 |meta single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time weekday:6 hour:12 hours_from_midnight:12 |meta hashtags:0 |tokens enjoy on wallace @ i morning will this chris be with
-1 |time weekday:6 hour:3 hours_from_midnight:3 |meta link hashtags:1 |tokens on great wisconsin thank again tuesday april claire #votetrump you america eau 5th make
-1 |time weekday:6 hour:3 hours_from_midnight:3 |meta hashtags:1 |tokens enjoy @ be i morning interviewed tomorrow will on #trump2016 by
-1 |time weekday:5 hour:23 hours_from_midnight:1 |meta link hashtags:6 |tokens a great wisconsin thank #wausau just #trumptrain arrived #wiprimary in #racine #eauclaire you #trump2016 day
-1 |time weekday:5 hour:20 hours_from_midnight:4 |meta hashtags:0 |tokens a @ for be nuclear explain should to attack experts allowing ashamed how make
-1 |time weekday:5 hour:20 hours_from_midnight:4 |meta hashtags:0 |tokens @ use full statements thank for on would nuclear never fox agree with words which you they my your today nice
-1 |time weekday:5 hour:20 hours_from_midnight:4 |meta hashtags:1 |tokens trump it general as have in tn to party meeting worth unifying @ #johnryder rnc counsel a great well delegate the honor
-1 |time weekday:5 hour:19 hours_from_midnight:5 |meta link hashtags:2 |tokens me on join monday tickets april 4th #wiprimary in milwaukee #trump2016
1 |time weekday:5 hour:2 hours_from_midnight:2 |meta hashtags:0 |tokens and be great wisconsin factors i big make deals immigration trade will bring election back in home jobs the until
1 |time weekday:5 hour:2 hours_from_midnight:2 |meta hashtags:0 |tokens show millions ratings would to interview if @ beat a with by like me on her covering h drop stopped rock my
